1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
2	R	49
3	N	64
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
5	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
0	J	496
4	R	496
4	W	496
0	R	496
0	J	502
4	R	502
4	W	502
0	R	503
0	J	562
4	R	562
4	W	562
0	R	562
0	J	562
4	R	562
4	W	562
0	R	563
0	J	652
4	R	652
4	W	653
0	R	653
0	J	682
4	R	682
4	W	682
0	R	683
0	J	712
4	R	712
4	W	718
0	R	718
0	J	952
4	R	952
6	N	953
6	J	953
6	R	954
7	N	956
7	J	957
8	N	957
8	J	957
8	R	958
8	J	973
7	R	973
7	J	988
8	R	988
8	J	1003
7	R	1003
7	J	1018
8	R	1018
8	J	1033
7	R	1033
7	J	1048
8	R	1048
8	J	1063
7	R	1063
7	J	1078
8	R	1078
8	J	1093
7	R	1093
7	J	1108
8	R	1108
8	J	1123
7	R	1123
7	J	1138
8	R	1138
8	W	1148
7	R	1148
7	W	1158
0	R	1158
8	J	1249
8	R	1249
7	J	1269
8	J	1269
7	R	1269
7	J	1286
8	R	1286
8	J	1301
7	R	1301
7	J	1316
8	R	1316
8	J	1331
7	R	1331
7	J	1346
8	R	1346
8	J	1361
7	R	1361
7	J	1376
8	R	1376
8	J	1391
7	R	1391
7	J	1406
8	R	1406
8	J	1421
7	R	1421
7	J	1436
8	R	1436
8	W	1441
7	R	1441
7	W	1449
0	R	1449
8	J	1542
8	R	1542
7	J	1552
8	J	1552
7	R	1552
7	J	1559
8	R	1559
8	J	1574
7	R	1574
7	J	1589
8	R	1589
8	J	1604
7	R	1604
7	J	1619
8	R	1619
8	J	1634
7	R	1634
7	J	1649
8	R	1649
8	J	1664
7	R	1664
7	J	1679
8	R	1679
8	J	1694
7	R	1694
7	J	1709
8	R	1709
8	J	1724
7	R	1724
7	J	1739
8	R	1739
8	W	1739
7	R	1739
7	W	1742
0	R	1742
8	J	1840
8	R	1840
7	J	1855
8	J	1855
7	R	1855
7	J	1867
8	R	1867
8	J	1882
7	R	1882
7	J	1897
8	R	1897
8	J	1912
7	R	1912
7	J	1927
8	R	1927
8	J	1942
7	R	1942
7	J	1957
8	R	1957
8	J	1972
7	R	1972
7	J	1987
8	R	1987
8	J	2002
7	R	2002
7	J	2017
8	R	2017
8	W	2027
7	R	2027
7	W	2040
0	R	2040
8	J	2128
8	R	2128
7	J	2148
8	J	2148
7	R	2148
7	J	2164
8	R	2164
8	J	2179
7	R	2179
7	J	2194
8	R	2194
8	J	2209
7	R	2209
7	J	2224
8	R	2224
8	J	2239
7	R	2239
7	J	2254
8	R	2254
8	J	2269
7	R	2269
7	J	2284
8	R	2284
8	J	2299
7	R	2299
7	J	2314
8	R	2314
8	W	2319
7	R	2319
7	W	2328
0	R	2328
8	J	2420
8	R	2420
8	E	2420
6	J	2420
6	R	2420
0	R	2420
7	J	2429
7	R	2429
7	E	2429
6	J	2429
6	R	2429
6	E	2430
4	J	2430
4	R	2430
9	N	2431
9	J	2431
4	W	2431
9	R	2431
9	J	2433
9	E	2434
4	R	2434
4	W	2434
0	R	2434
0	J	2602
4	R	2602
4	W	2603
0	R	2603
0	J	2632
4	R	2632
4	W	2632
0	R	2633
0	J	2662
4	R	2662
4	W	2662
0	R	2663
0	J	2692
4	R	2692
4	W	2692
0	R	2692
0	J	2729
4	R	2729
4	W	2729
0	R	2729
0	J	2752
4	R	2752
4	W	2752
0	R	2753
0	J	2754
4	R	2754
4	W	2754
0	R	2754
0	J	2782
4	R	2782
4	W	2782
0	R	2783
0	J	2812
4	R	2812
10	N	2814
10	J	2814
10	R	2815
